payroll_id,year,month,staff_id,staff_name,work_days,work_hours,base_salary,overtime_pay,commute_allowance,other_allowances,gross_salary,health_insurance,pension_insurance,employment_insurance,income_tax,resident_tax,total_deduction,net_salary,payment_date,payment_status
PAY202401_0001,2024,1,1,田中太郎,24,141.2,350000,2917,8640,0,361557,17897,33082,1085,17606,8000,77670,283887,2024-02-10,paid
PAY202401_0002,2024,1,2,佐藤花子,20,108.9,280000,1531,4800,0,286331,14173,26199,859,10083,8000,59314,227017,2024-02-10,paid
PAY202401_0003,2024,1,3,鈴木次郎,23,123.2,135520,1467,3450,0,140437,0,0,0,2622,0,2622,137815,2024-02-10,paid
PAY202401_0004,2024,1,4,山田美咲,20,116.8,116800,1312,1800,0,119912,0,0,0,1596,0,1596,118316,2024-02-10,paid
PAY202401_0005,2024,1,5,高橋健太,21,115.6,115600,1271,4410,0,121281,0,0,0,1664,0,1664,119617,2024-02-10,paid
PAY202401_0006,2024,1,6,伊藤さくら,19,101.3,111430,733,8550,0,120713,0,0,0,1636,0,1636,119077,2024-02-10,paid
PAY202401_0007,2024,1,7,渡辺翔,11,54.0,51300,257,6600,0,58157,0,0,0,0,0,0,58157,2024-02-10,paid
PAY202401_0008,2024,1,8,中村陽子,14,77.2,92640,0,2520,0,95160,0,0,0,358,0,358,94802,2024-02-10,paid
PAY202401_0009,2024,1,9,小林大輔,19,101.6,320000,917,10260,0,331177,16393,30303,994,14568,8000,70258,260919,2024-02-10,paid
PAY202401_0010,2024,1,10,加藤真由美,18,97.9,107690,894,5400,0,113984,0,0,0,1299,0,1299,112685,2024-02-10,paid
PAY202402_0011,2024,2,1,田中太郎,20,97.7,350000,1549,7200,0,358749,17758,32826,1076,17325,8000,76985,281764,2024-03-10,paid
PAY202402_0012,2024,2,2,佐藤花子,18,111.3,280000,1932,4320,0,286252,14169,26192,859,10075,8000,59295,226957,2024-03-10,paid
PAY202402_0013,2024,2,3,鈴木次郎,16,82.1,90310,802,2400,0,93512,0,0,0,276,0,276,93236,2024-03-10,paid
PAY202402_0014,2024,2,4,山田美咲,18,94.1,94100,833,1620,0,96553,0,0,0,428,0,428,96125,2024-03-10,paid
PAY202402_0015,2024,2,5,高橋健太,15,85.2,85200,646,3150,0,88996,0,0,0,50,0,50,88946,2024-03-10,paid
PAY202402_0016,2024,2,6,伊藤さくら,12,58.7,64570,504,5400,0,70474,0,0,0,0,0,0,70474,2024-03-10,paid
PAY202402_0017,2024,2,7,渡辺翔,12,63.4,60230,0,7200,0,67430,0,0,0,0,0,0,67430,2024-03-10,paid
PAY202402_0018,2024,2,8,中村陽子,15,71.4,85680,525,2700,0,88905,0,0,0,45,0,45,88860,2024-03-10,paid
PAY202402_0019,2024,2,9,小林大輔,18,100.4,320000,1000,9720,0,330720,16371,30261,992,14522,8000,70146,260574,2024-03-10,paid
PAY202402_0020,2024,2,10,加藤真由美,16,87.7,96470,1444,4800,0,102714,0,0,0,736,0,736,101978,2024-03-10,paid
PAY202403_0021,2024,3,1,田中太郎,16,86.9,350000,456,5760,0,356216,17633,32594,1069,17072,8000,76368,279848,2024-04-10,paid
PAY202403_0022,2024,3,2,佐藤花子,22,118.6,280000,547,5280,0,285827,14148,26153,857,10033,8000,59191,226636,2024-04-10,paid
PAY202403_0023,2024,3,3,鈴木次郎,23,125.3,137830,917,3450,0,142197,0,0,0,2710,0,2710,139487,2024-04-10,paid
PAY202403_0024,2024,3,4,山田美咲,15,70.5,70500,167,1350,0,72017,0,0,0,0,0,0,72017,2024-04-10,paid
PAY202403_0025,2024,3,5,高橋健太,16,87.8,87800,375,3360,0,91535,0,0,0,177,0,177,91358,2024-04-10,paid
PAY202403_0026,2024,3,6,伊藤さくら,22,110.3,121330,1581,9900,0,132811,0,0,0,2241,0,2241,130570,2024-04-10,paid
PAY202403_0027,2024,3,7,渡辺翔,13,66.5,63175,475,7800,0,71450,0,0,0,0,0,0,71450,2024-04-10,paid
PAY202403_0028,2024,3,8,中村陽子,19,104.4,125280,1650,3420,0,130350,0,0,0,2118,0,2118,128232,2024-04-10,paid
PAY202403_0029,2024,3,9,小林大輔,17,88.5,320000,1667,9180,0,330847,16377,30273,993,14535,8000,70178,260669,2024-04-10,paid
PAY202403_0030,2024,3,10,加藤真由美,17,83.4,91740,825,5100,0,97665,0,0,0,483,0,483,97182,2024-04-10,paid
PAY202404_0031,2024,4,1,田中太郎,17,104.1,350000,0,6120,0,356120,17628,32585,1068,17062,8000,76343,279777,2024-05-10,paid
PAY202404_0032,2024,4,2,佐藤花子,21,113.1,280000,1823,5040,0,286863,14200,26248,861,10136,8000,59445,227418,2024-05-10,paid
