shift_id,year,month,date,staff_id,staff_name,scheduled_start,scheduled_end,actual_start,actual_end,scheduled_hours,actual_hours,break_minutes,overtime_minutes,is_late,is_early_leave,notes
SH20240101_0001,2024,1,1,1,田中太郎,17:00,22:00,17:00,22:00,5.0,5.0,0,0,FALSE,FALSE,
SH20240101_0002,2024,1,1,3,鈴木次郎,09:00,17:00,09:00,17:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240101_0003,2024,1,1,8,中村陽子,14:00,18:00,14:00,17:54,4.0,3.9,0,0,FALSE,TRUE,早退
SH20240102_0004,2024,1,2,1,田中太郎,13:00,21:00,13:00,21:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240102_0005,2024,1,2,2,佐藤花子,14:00,18:00,14:00,18:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240102_0006,2024,1,2,3,鈴木次郎,13:00,21:00,12:56,21:00,7.0,7.1,60,4,FALSE,FALSE,
SH20240102_0007,2024,1,2,4,山田美咲,14:00,18:00,14:00,18:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240102_0008,2024,1,2,5,高橋健太,13:00,21:00,13:00,20:55,7.0,6.9,60,0,FALSE,TRUE,早退
SH20240102_0009,2024,1,2,6,伊藤さくら,17:00,22:00,17:00,22:00,5.0,5.0,0,0,FALSE,FALSE,
SH20240102_0010,2024,1,2,8,中村陽子,09:00,17:00,09:00,17:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240102_0011,2024,1,2,9,小林大輔,09:00,13:00,09:00,13:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240102_0012,2024,1,2,10,加藤真由美,09:00,17:00,09:08,17:00,7.0,6.9,60,0,TRUE,FALSE,遅刻
SH20240103_0013,2024,1,3,1,田中太郎,13:00,21:00,13:00,21:03,7.0,7.0,60,3,FALSE,FALSE,
SH20240103_0014,2024,1,3,2,佐藤花子,09:00,17:00,09:00,17:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240103_0015,2024,1,3,3,鈴木次郎,09:00,13:00,09:00,13:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240103_0016,2024,1,3,5,高橋健太,17:00,22:00,16:46,22:00,5.0,5.2,0,14,FALSE,FALSE,
SH20240103_0017,2024,1,3,9,小林大輔,09:00,13:00,09:00,13:05,4.0,4.1,0,5,FALSE,FALSE,
SH20240104_0018,2024,1,4,1,田中太郎,17:00,22:00,17:00,22:00,5.0,5.0,0,0,FALSE,FALSE,
SH20240104_0019,2024,1,4,3,鈴木次郎,13:00,21:00,13:00,21:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240104_0020,2024,1,4,4,山田美咲,09:00,13:00,09:00,13:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240104_0021,2024,1,4,5,高橋健太,09:00,13:00,09:00,13:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240104_0022,2024,1,4,6,伊藤さくら,13:00,21:00,12:47,21:00,7.0,7.2,60,13,FALSE,FALSE,
SH20240104_0023,2024,1,4,7,渡辺翔,14:00,18:00,14:02,18:00,4.0,4.0,0,0,TRUE,FALSE,遅刻
SH20240104_0024,2024,1,4,8,中村陽子,09:00,17:00,09:00,17:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240104_0025,2024,1,4,9,小林大輔,14:00,18:00,14:07,18:00,4.0,3.9,0,0,TRUE,FALSE,遅刻
SH20240104_0026,2024,1,4,10,加藤真由美,09:00,17:00,09:00,17:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240105_0027,2024,1,5,1,田中太郎,14:00,18:00,13:47,18:00,4.0,4.2,0,13,FALSE,FALSE,
SH20240105_0028,2024,1,5,2,佐藤花子,09:00,13:00,09:00,13:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240105_0029,2024,1,5,3,鈴木次郎,09:00,17:00,09:00,17:02,7.0,7.0,60,2,FALSE,FALSE,
SH20240105_0030,2024,1,5,4,山田美咲,13:00,21:00,13:00,21:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240105_0031,2024,1,5,5,高橋健太,14:00,18:00,14:00,18:02,4.0,4.0,0,2,FALSE,FALSE,
SH20240105_0032,2024,1,5,7,渡辺翔,14:00,18:00,14:00,18:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240105_0033,2024,1,5,9,小林大輔,09:00,17:00,09:00,17:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240105_0034,2024,1,5,10,加藤真由美,17:00,22:00,17:12,22:00,5.0,4.8,0,0,TRUE,FALSE,遅刻
SH20240106_0035,2024,1,6,1,田中太郎,09:00,13:00,09:07,12:44,4.0,3.6,0,0,TRUE,TRUE,"遅刻, 早退"
SH20240106_0036,2024,1,6,2,佐藤花子,09:00,13:00,08:55,13:00,4.0,4.1,0,5,FALSE,FALSE,
SH20240106_0037,2024,1,6,3,鈴木次郎,13:00,21:00,13:00,21:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240106_0038,2024,1,6,5,高橋健太,17:00,22:00,17:00,22:19,5.0,5.3,0,19,FALSE,FALSE,
SH20240106_0039,2024,1,6,8,中村陽子,13:00,21:00,13:00,21:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240106_0040,2024,1,6,9,小林大輔,14:00,18:00,14:08,18:00,4.0,3.9,0,0,TRUE,FALSE,遅刻
SH20240107_0041,2024,1,7,1,田中太郎,13:00,21:00,13:00,21:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240107_0042,2024,1,7,2,佐藤花子,13:00,21:00,13:12,21:00,7.0,6.8,60,0,TRUE,FALSE,遅刻
SH20240107_0043,2024,1,7,4,山田美咲,13:00,21:00,13:00,20:46,7.0,6.8,60,0,FALSE,TRUE,早退
SH20240107_0044,2024,1,7,6,伊藤さくら,14:00,18:00,14:00,18:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240107_0045,2024,1,7,7,渡辺翔,14:00,18:00,14:00,18:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240107_0046,2024,1,7,8,中村陽子,14:00,18:00,14:00,17:58,4.0,4.0,0,0,FALSE,TRUE,早退
SH20240107_0047,2024,1,7,9,小林大輔,09:00,17:00,09:00,16:55,7.0,6.9,60,0,FALSE,TRUE,早退
SH20240108_0048,2024,1,8,2,佐藤花子,13:00,21:00,12:58,21:00,7.0,7.0,60,2,FALSE,FALSE,
SH20240108_0049,2024,1,8,4,山田美咲,09:00,13:00,09:00,13:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240108_0050,2024,1,8,5,高橋健太,09:00,13:00,09:00,13:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240108_0051,2024,1,8,6,伊藤さくら,14:00,18:00,14:00,18:00,4.0,4.0,0,0,FALSE,FALSE,
SH20240108_0052,2024,1,8,7,渡辺翔,17:00,22:00,17:00,22:00,5.0,5.0,0,0,FALSE,FALSE,
SH20240108_0053,2024,1,8,10,加藤真由美,09:00,17:00,09:00,17:00,7.0,7.0,60,0,FALSE,FALSE,
SH20240109_0054,2024,1,9,1,田中太郎,09:00,17:00,09:00,17:00,7.0,7.0,60,0,FALSE,FALSE,
