shift_id,year,month,date,day_of_week,staff_id,staff_name,start_time,end_time,break_minutes,actual_hours,role,hourly_rate,daily_wage,status,modified_flag,modified_by,notes
SH20231101001,2023,11,1,水,2,佐藤花子,09:00,17:00,60,7.0,リーダー,1300,9100,completed,FALSE,,
SH20231101002,2023,11,1,水,6,伊藤さくら,10:00,15:00,0,5.0,パート,1100,5500,completed,FALSE,,
SH20231101003,2023,11,1,水,10,加藤真由美,13:00,21:00,60,7.0,パート,1100,7700,completed,FALSE,,
SH20231102004,2023,11,2,木,2,佐藤花子,09:00,17:00,60,7.0,リーダー,1300,9100,completed,FALSE,,
SH20231102005,2023,11,2,木,3,鈴木次郎,10:00,18:00,60,7.0,スタッフ,1100,7700,completed,FALSE,,
SH20231102006,2023,11,2,木,5,高橋健太,13:00,21:00,60,7.0,アルバイト,1000,7000,completed,FALSE,,
SH20231103007,2023,11,3,金,9,小林大輔,09:00,18:00,60,8.0,正社員,1400,11200,completed,FALSE,,文化の日
SH20231103008,2023,11,3,金,6,伊藤さくら,10:00,15:00,0,5.0,パート,1100,5500,completed,FALSE,,文化の日
SH20231103009,2023,11,3,金,3,鈴木次郎,10:00,18:00,60,7.0,スタッフ,1100,7700,completed,FALSE,,文化の日
SH20231103010,2023,11,3,金,5,高橋健太,13:00,21:00,60,7.0,アルバイト,1000,7000,completed,FALSE,,文化の日
SH20231103011,2023,11,3,金,4,山田美咲,17:00,22:00,0,5.0,アルバイト,1000,5000,completed,FALSE,,文化の日
SH20231104012,2023,11,4,土,1,田中太郎,09:00,18:00,60,8.0,リーダー,1500,12000,completed,FALSE,,
SH20231104013,2023,11,4,土,6,伊藤さくら,10:00,17:00,60,6.0,パート,1100,6600,completed,FALSE,,
SH20231104014,2023,11,4,土,5,高橋健太,11:00,20:00,60,8.0,アルバイト,1000,8000,completed,FALSE,,
SH20231104015,2023,11,4,土,4,山田美咲,11:00,20:00,60,8.0,アルバイト,1000,8000,completed,FALSE,,
SH20231104016,2023,11,4,土,10,加藤真由美,13:00,21:00,60,7.0,パート,1100,7700,completed,FALSE,,
SH20231105017,2023,11,5,日,2,佐藤花子,09:00,18:00,60,8.0,リーダー,1300,10400,completed,FALSE,,
SH20231105018,2023,11,5,日,6,伊藤さくら,10:00,17:00,60,6.0,パート,1100,6600,completed,FALSE,,
SH20231105019,2023,11,5,日,8,中村陽子,13:00,21:00,60,7.0,パート,1200,8400,completed,FALSE,,
SH20231105020,2023,11,5,日,5,高橋健太,11:00,20:00,60,8.0,アルバイト,1000,8000,completed,TRUE,店長,代替出勤
