shift_id,year,month,date,day_of_week,staff_id,staff_name,start_time,end_time,break_minutes,actual_hours,role,hourly_rate,daily_wage,status,modified_flag,modified_by,notes
SH202411001,2024,11,1,F,1,田中太郎,09:00,17:00,60,7.0,リーダー,1500,10500.0,completed,False,,
SH202411002,2024,11,1,F,2,佐藤花子,09:00,17:00,60,7.0,リーダー,1300,9100.0,completed,False,,
SH202411003,2024,11,1,F,3,鈴木次郎,09:00,17:00,60,7.0,スタッフ,1100,7700.0,completed,False,,
SH202411004,2024,11,1,F,4,山田美咲,09:00,17:00,60,7.0,アルバイト,1000,7000.0,completed,False,,
SH202411005,2024,11,1,F,5,高橋健太,09:00,17:00,60,7.0,アルバイト,1000,7000.0,completed,False,,
SH202411006,2024,11,1,F,6,伊藤さくら,09:00,17:00,60,7.0,パート,1100,7700.0,completed,False,,
SH202411007,2024,11,1,F,8,中村陽子,09:00,17:00,60,7.0,パート,1200,8400.0,completed,False,,
SH202411008,2024,11,1,F,9,小林大輔,09:00,17:00,60,7.0,正社員,1400,9800.0,completed,False,,
SH202411009,2024,11,1,F,10,加藤真由美,09:00,17:00,60,7.0,パート,1100,7700.0,completed,False,,
SH202411010,2024,11,2,S,1,田中太郎,09:00,17:00,60,7.0,リーダー,1500,10500.0,completed,False,,
SH202411011,2024,11,2,S,2,佐藤花子,09:00,17:00,60,7.0,リーダー,1300,9100.0,completed,False,,
SH202411012,2024,11,2,S,3,鈴木次郎,09:00,17:00,60,7.0,スタッフ,1100,7700.0,completed,False,,
SH202411013,2024,11,2,S,4,山田美咲,09:00,17:00,60,7.0,アルバイト,1000,7000.0,completed,False,,
SH202411014,2024,11,2,S,5,高橋健太,09:00,17:00,60,7.0,アルバイト,1000,7000.0,completed,False,,
SH202411015,2024,11,2,S,6,伊藤さくら,09:00,17:00,60,7.0,パート,1100,7700.0,completed,False,,
SH202411016,2024,11,2,S,8,中村陽子,09:00,17:00,60,7.0,パート,1200,8400.0,completed,False,,
SH202411017,2024,11,2,S,9,小林大輔,09:00,17:00,60,7.0,正社員,1400,9800.0,completed,False,,
SH202411018,2024,11,2,S,10,加藤真由美,09:00,17:00,60,7.0,パート,1100,7700.0,completed,False,,
SH202411019,2024,11,4,M,1,田中太郎,09:00,17:00,60,7.0,リーダー,1500,10500.0,completed,False,,
SH202411020,2024,11,4,M,2,佐藤花子,09:00,17:00,60,7.0,リーダー,1300,9100.0,completed,False,,
SH202411021,2024,11,4,M,3,鈴木次郎,09:00,17:00,60,7.0,スタッフ,1100,7700.0,completed,False,,
SH202411022,2024,11,4,M,4,山田美咲,09:00,17:00,60,7.0,アルバイト,1000,7000.0,completed,False,,
SH202411023,2024,11,4,M,5,高橋健太,09:00,17:00,60,7.0,アルバイト,1000,7000.0,completed,False,,
SH202411024,2024,11,4,M,6,伊藤さくら,09:00,17:00,60,7.0,パート,1100,7700.0,completed,False,,
SH202411025,2024,11,4,M,8,中村陽子,09:00,17:00,60,7.0,パート,1200,8400.0,completed,False,,
SH202411026,2024,11,4,M,9,小林大輔,09:00,17:00,60,7.0,正社員,1400,9800.0,completed,False,,
SH202411027,2024,11,4,M,10,加藤真由美,09:00,17:00,60,7.0,パート,1100,7700.0,completed,False,,
SH202411028,2024,11,5,T,1,田中太郎,09:00,17:00,60,7.0,リーダー,1500,10500.0,completed,False,,
SH202411029,2024,11,5,T,2,佐藤花子,09:00,17:00,60,7.0,リーダー,1300,9100.0,completed,False,,
SH202411030,2024,11,5,T,3,鈴木次郎,09:00,17:00,60,7.0,スタッフ,1100,7700.0,completed,False,,
SH202411031,2024,11,5,T,4,山田美咲,09:00,17:00,60,7.0,アルバイト,1000,7000.0,completed,False,,
SH202411032,2024,11,5,T,5,高橋健太,09:00,17:00,60,7.0,アルバイト,1000,7000.0,completed,False,,
SH202411033,2024,11,5,T,6,伊藤さくら,09:00,17:00,60,7.0,パート,1100,7700.0,completed,False,,
SH202411034,2024,11,5,T,8,中村陽子,09:00,17:00,60,7.0,パート,1200,8400.0,completed,False,,
SH202411035,2024,11,5,T,9,小林大輔,09:00,17:00,60,7.0,正社員,1400,9800.0,completed,False,,
SH202411036,2024,11,5,T,10,加藤真由美,09:00,17:00,60,7.0,パート,1100,7700.0,completed,False,,
SH202411037,2024,11,6,W,1,田中太郎,09:00,17:00,60,7.0,リーダー,1500,10500.0,completed,False,,
SH202411038,2024,11,6,W,2,佐藤花子,09:00,17:00,60,7.0,リーダー,1300,9100.0,completed,False,,
SH202411039,2024,11,6,W,3,鈴木次郎,09:00,17:00,60,7.0,スタッフ,1100,7700.0,completed,False,,
SH202411040,2024,11,6,W,4,山田美咲,09:00,17:00,60,7.0,アルバイト,1000,7000.0,completed,False,,
SH202411041,2024,11,6,W,5,高橋健太,09:00,17:00,60,7.0,アルバイト,1000,7000.0,completed,False,,
SH202411042,2024,11,6,W,6,伊藤さくら,09:00,17:00,60,7.0,パート,1100,7700.0,completed,False,,
SH202411043,2024,11,6,W,8,中村陽子,09:00,17:00,60,7.0,パート,1200,8400.0,completed,False,,
SH202411044,2024,11,6,W,9,小林大輔,09:00,17:00,60,7.0,正社員,1400,9800.0,completed,False,,
SH202411045,2024,11,6,W,10,加藤真由美,09:00,17:00,60,7.0,パート,1100,7700.0,completed,False,,
SH202411046,2024,11,7,T,1,田中太郎,09:00,17:00,60,7.0,リーダー,1500,10500.0,completed,False,,
SH202411047,2024,11,7,T,2,佐藤花子,09:00,17:00,60,7.0,リーダー,1300,9100.0,completed,False,,
SH202411048,2024,11,7,T,3,鈴木次郎,09:00,17:00,60,7.0,スタッフ,1100,7700.0,completed,False,,
SH202411049,2024,11,7,T,4,山田美咲,09:00,17:00,60,7.0,アルバイト,1000,7000.0,completed,False,,
SH202411050,2024,11,7,T,5,高橋健太,09:00,17:00,60,7.0,アルバイト,1000,7000.0,completed,False,,
SH202411051,2024,11,7,T,6,伊藤さくら,09:00,17:00,60,7.0,パート,1100,7700.0,completed,False,,
SH202411052,2024,11,7,T,8,中村陽子,09:00,17:00,60,7.0,パート,1200,8400.0,completed,False,,
SH202411053,2024,11,7,T,9,小林大輔,09:00,17:00,60,7.0,正社員,1400,9800.0,completed,False,,
SH202411054,2024,11,7,T,10,加藤真由美,09:00,17:00,60,7.0,パート,1100,7700.0,completed,False,,
SH202411055,2024,11,8,F,1,田中太郎,09:00,17:00,60,7.0,リーダー,1500,10500.0,completed,False,,
SH202411056,2024,11,8,F,2,佐藤花子,09:00,17:00,60,7.0,リーダー,1300,9100.0,completed,False,,
SH202411057,2024,11,8,F,3,鈴木次郎,09:00,17:00,60,7.0,スタッフ,1100,7700.0,completed,False,,
SH202411058,2024,11,8,F,4,山田美咲,09:00,17:00,60,7.0,アルバイト,1000,7000.0,completed,False,,
SH202411059,2024,11,8,F,5,高橋健太,09:00,17:00,60,7.0,アルバイト,1000,7000.0,completed,False,,
SH202411060,2024,11,8,F,6,伊藤さくら,09:00,17:00,60,7.0,パート,1100,7700.0,completed,False,,
SH202411061,2024,11,8,F,8,中村陽子,09:00,17:00,60,7.0,パート,1200,8400.0,completed,False,,
SH202411062,2024,11,8,F,9,小林大輔,09:00,17:00,60,7.0,正社員,1400,9800.0,completed,False,,
SH202411063,2024,11,8,F,10,加藤真由美,09:00,17:00,60,7.0,パート,1100,7700.0,completed,False,,
SH202411064,2024,11,9,S,1,田中太郎,09:00,17:00,60,7.0,リーダー,1500,10500.0,completed,False,,
SH202411065,2024,11,9,S,2,佐藤花子,09:00,17:00,60,7.0,リーダー,1300,9100.0,completed,False,,
SH202411066,2024,11,9,S,3,鈴木次郎,09:00,17:00,60,7.0,スタッフ,1100,7700.0,completed,False,,
SH202411067,2024,11,9,S,4,山田美咲,09:00,17:00,60,7.0,アルバイト,1000,7000.0,completed,False,,
SH202411068,2024,11,9,S,5,高橋健太,09:00,17:00,60,7.0,アルバイト,1000,7000.0,completed,False,,
SH202411069,2024,11,9,S,6,伊藤さくら,09:00,17:00,60,7.0,パート,1100,7700.0,completed,False,,
SH202411070,2024,11,9,S,8,中村陽子,09:00,17:00,60,7.0,パート,1200,8400.0,completed,False,,
SH202411071,2024,11,9,S,9,小林大輔,09:00,17:00,60,7.0,正社員,1400,9800.0,completed,False,,
SH202411072,2024,11,9,S,10,加藤真由美,09:00,17:00,60,7.0,パート,1100,7700.0,completed,False,,
SH202411073,2024,11,11,M,1,田中太郎,09:00,17:00,60,7.0,リーダー,1500,10500.0,completed,False,,
SH202411074,2024,11,11,M,2,佐藤花子,09:00,17:00,60,7.0,リーダー,1300,9100.0,completed,False,,
SH202411075,2024,11,11,M,3,鈴木次郎,09:00,17:00,60,7.0,スタッフ,1100,7700.0,completed,False,,
SH202411076,2024,11,11,M,4,山田美咲,09:00,17:00,60,7.0,アルバイト,1000,7000.0,completed,False,,
SH202411077,2024,11,11,M,5,高橋健太,09:00,17:00,60,7.0,アルバイト,1000,7000.0,completed,False,,
SH202411078,2024,11,11,M,6,伊藤さくら,09:00,17:00,60,7.0,パート,1100,7700.0,completed,False,,
SH202411079,2024,11,11,M,8,中村陽子,09:00,17:00,60,7.0,パート,1200,8400.0,completed,False,,
SH202411080,2024,11,11,M,9,小林大輔,09:00,17:00,60,7.0,正社員,1400,9800.0,completed,False,,
SH202411081,2024,11,11,M,10,加藤真由美,09:00,17:00,60,7.0,パート,1100,7700.0,completed,False,,
SH202411082,2024,11,12,T,1,田中太郎,09:00,17:00,60,7.0,リーダー,1500,10500.0,completed,False,,
SH202411083,2024,11,12,T,2,佐藤花子,09:00,17:00,60,7.0,リーダー,1300,9100.0,completed,False,,
SH202411084,2024,11,12,T,3,鈴木次郎,09:00,17:00,60,7.0,スタッフ,1100,7700.0,completed,False,,
SH202411085,2024,11,12,T,4,山田美咲,09:00,17:00,60,7.0,アルバイト,1000,7000.0,completed,False,,
SH202411086,2024,11,12,T,5,高橋健太,09:00,17:00,60,7.0,アルバイト,1000,7000.0,completed,False,,
SH202411087,2024,11,12,T,6,伊藤さくら,09:00,17:00,60,7.0,パート,1100,7700.0,completed,False,,
SH202411088,2024,11,12,T,8,中村陽子,09:00,17:00,60,7.0,パート,1200,8400.0,completed,False,,
SH202411089,2024,11,12,T,9,小林大輔,09:00,17:00,60,7.0,正社員,1400,9800.0,completed,False,,
SH202411090,2024,11,12,T,10,加藤真由美,09:00,17:00,60,7.0,パート,1100,7700.0,completed,False,,
SH202411091,2024,11,13,W,1,田中太郎,09:00,17:00,60,7.0,リーダー,1500,10500.0,completed,False,,
